Variables = " x points", "y points" 
ZONE T="Grid", I=100, J=50, F=POINT
0 0
0 0.02
0 0.04
0 0.06
0 0.08
0 0.1
0 0.12
0 0.14
0 0.16
0 0.18
0 0.2
0 0.22
0 0.24
0 0.26
0 0.28
0 0.3
0 0.32
0 0.34
0 0.36
0 0.38
0 0.4
0 0.42
0 0.44
0 0.46
0 0.48
0 0.5
0 0.52
0 0.54
0 0.56
0 0.58
0 0.6
0 0.62
0 0.64
0 0.66
0 0.68
0 0.7
0 0.72
0 0.74
0 0.76
0 0.78
0 0.8
0 0.82
0 0.84
0 0.86
0 0.88
0 0.9
0 0.92
0 0.94
0 0.96
0 0.98
0 1
0.03 0
0.03 0.02
0.03 0.04
0.03 0.06
0.03 0.08
0.03 0.1
0.03 0.12
0.03 0.14
0.03 0.16
0.03 0.18
0.03 0.2
0.03 0.22
0.03 0.24
0.03 0.26
0.03 0.28
0.03 0.3
0.03 0.32
0.03 0.34
0.03 0.36
0.03 0.38
0.03 0.4
0.03 0.42
0.03 0.44
0.03 0.46
0.03 0.48
0.03 0.5
0.03 0.52
0.03 0.54
0.03 0.56
0.03 0.58
0.03 0.6
0.03 0.62
0.03 0.64
0.03 0.66
0.03 0.68
0.03 0.7
0.03 0.72
0.03 0.74
0.03 0.76
0.03 0.78
0.03 0.8
0.03 0.82
0.03 0.84
0.03 0.86
0.03 0.88
0.03 0.9
0.03 0.92
0.03 0.94
0.03 0.96
0.03 0.98
0.03 1
0.06 0
0.06 0.02
0.06 0.04
0.06 0.06
0.06 0.08
0.06 0.1
0.06 0.12
0.06 0.14
0.06 0.16
0.06 0.18
0.06 0.2
0.06 0.22
0.06 0.24
0.06 0.26
0.06 0.28
0.06 0.3
0.06 0.32
0.06 0.34
0.06 0.36
0.06 0.38
0.06 0.4
0.06 0.42
0.06 0.44
0.06 0.46
0.06 0.48
0.06 0.5
0.06 0.52
0.06 0.54
0.06 0.56
0.06 0.58
0.06 0.6
0.06 0.62
0.06 0.64
0.06 0.66
0.06 0.68
0.06 0.7
0.06 0.72
0.06 0.74
0.06 0.76
0.06 0.78
0.06 0.8
0.06 0.82
0.06 0.84
0.06 0.86
0.06 0.88
0.06 0.9
0.06 0.92
0.06 0.94
0.06 0.96
0.06 0.98
0.06 1
0.09 0
0.09 0.02
0.09 0.04
0.09 0.06
0.09 0.08
0.09 0.1
0.09 0.12
0.09 0.14
0.09 0.16
0.09 0.18
0.09 0.2
0.09 0.22
0.09 0.24
0.09 0.26
0.09 0.28
0.09 0.3
0.09 0.32
0.09 0.34
0.09 0.36
0.09 0.38
0.09 0.4
0.09 0.42
0.09 0.44
0.09 0.46
0.09 0.48
0.09 0.5
0.09 0.52
0.09 0.54
0.09 0.56
0.09 0.58
0.09 0.6
0.09 0.62
0.09 0.64
0.09 0.66
0.09 0.68
0.09 0.7
0.09 0.72
0.09 0.74
0.09 0.76
0.09 0.78
0.09 0.8
0.09 0.82
0.09 0.84
0.09 0.86
0.09 0.88
0.09 0.9
0.09 0.92
0.09 0.94
0.09 0.96
0.09 0.98
0.09 1
0.12 0
0.12 0.02
0.12 0.04
0.12 0.06
0.12 0.08
0.12 0.1
0.12 0.12
0.12 0.14
0.12 0.16
0.12 0.18
0.12 0.2
0.12 0.22
0.12 0.24
0.12 0.26
0.12 0.28
0.12 0.3
0.12 0.32
0.12 0.34
0.12 0.36
0.12 0.38
0.12 0.4
0.12 0.42
0.12 0.44
0.12 0.46
0.12 0.48
0.12 0.5
0.12 0.52
0.12 0.54
0.12 0.56
0.12 0.58
0.12 0.6
0.12 0.62
0.12 0.64
0.12 0.66
0.12 0.68
0.12 0.7
0.12 0.72
0.12 0.74
0.12 0.76
0.12 0.78
0.12 0.8
0.12 0.82
0.12 0.84
0.12 0.86
0.12 0.88
0.12 0.9
0.12 0.92
0.12 0.94
0.12 0.96
0.12 0.98
0.12 1
0.15 0
0.15 0.02
0.15 0.04
0.15 0.06
0.15 0.08
0.15 0.1
0.15 0.12
0.15 0.14
0.15 0.16
0.15 0.18
0.15 0.2
0.15 0.22
0.15 0.24
0.15 0.26
0.15 0.28
0.15 0.3
0.15 0.32
0.15 0.34
0.15 0.36
0.15 0.38
0.15 0.4
0.15 0.42
0.15 0.44
0.15 0.46
0.15 0.48
0.15 0.5
0.15 0.52
0.15 0.54
0.15 0.56
0.15 0.58
0.15 0.6
0.15 0.62
0.15 0.64
0.15 0.66
0.15 0.68
0.15 0.7
0.15 0.72
0.15 0.74
0.15 0.76
0.15 0.78
0.15 0.8
0.15 0.82
0.15 0.84
0.15 0.86
0.15 0.88
0.15 0.9
0.15 0.92
0.15 0.94
0.15 0.96
0.15 0.98
0.15 1
0.18 0
0.18 0.02
0.18 0.04
0.18 0.06
0.18 0.08
0.18 0.1
0.18 0.12
0.18 0.14
0.18 0.16
0.18 0.18
0.18 0.2
0.18 0.22
